Year_Birth,Education,Income
1988,2n Cycle,15716.0
1952,PhD,46610.0
1977,Graduation,74985.0
1945,PhD,45576.0
1945,PhD,113734.0
1987,Graduation,57100.0
1972,Graduation,24434.0
1971,PhD,37126.0
1958,Graduation,45160.0
1977,Graduation,33178.0
1950,Master,64866.0
1975,Master,34176.0
1968,Master,50014.0
1948,Graduation,92344.0
1970,Master,55282.0
1963,PhD,48799.0
1982,PhD,84169.0
1982,PhD,84169.0
1971,Master,39763.0
1975,PhD,74165.0
1965,Graduation,42720.0
1944,Graduation,65275.0
1961,Graduation,36443.0
1952,Master,43776.0
1965,Graduation,56046.0
1958,Graduation,65148.0
1955,Graduation,49431.0
1961,PhD,32583.0
1979,Master,16653.0
1971,2n Cycle,26850.0
1968,Graduation,51287.0
1973,2n Cycle,43050.0
1969,Graduation,73448.0
1992,Basic,17256.0
1961,Graduation,86429.0
1983,PhD,33569.0
1980,2n Cycle,25130.0
1952,Graduation,62998.0
1976,2n Cycle,26907.0
1976,2n Cycle,26907.0
1948,PhD,45579.0
1957,Graduation,47320.0
1976,PhD,70179.0
1976,PhD,70179.0
1986,Master,28072.0
1954,Graduation,50501.0
1969,Graduation,58917.0
1949,Graduation,69372.0
1971,Master,35178.0
1971,Master,35178.0
1968,Graduation,75693.0
1982,Graduation,69109.0
1982,Graduation,69109.0
1994,Graduation,80134.0
1970,Graduation,64713.0
1986,Graduation,41411.0
1983,Graduation,
1955,PhD,55521.0
1968,Master,43795.0
1970,Graduation,22070.0
1949,Master,36408.0
1950,Graduation,34026.0
1950,Graduation,34026.0
1976,Graduation,46049.0
1972,Master,35641.0
1984,2n Cycle,32414.0
1955,PhD,59821.0
1980,Graduation,34968.0
1967,PhD,56320.0
1969,Master,70091.0
1956,Graduation,46097.0
1963,PhD,41003.0
1959,Graduation,44911.0
1975,Graduation,33249.0
1975,Graduation,33249.0
1950,PhD,42873.0
1969,PhD,51039.0
1958,PhD,78952.0
1966,Master,29435.0
1954,Graduation,79865.0
1988,Graduation,34176.0
1988,Graduation,34176.0
1970,PhD,65968.0
1956,Master,86424.0
1966,Graduation,67272.0
1957,Graduation,78499.0
1972,Graduation,77044.0
1993,Graduation,70515.0
1975,Master,17459.0
1970,PhD,80336.0
1956,Graduation,15759.0
1976,2n Cycle,26326.0
1976,Graduation,62061.0
1976,Graduation,5305.0
1982,Master,75777.0
1982,Master,75777.0
1971,Master,71499.0
1978,PhD,31626.0
1992,Master,42670.0
1973,Graduation,83917.0
1969,Master,41021.0
1956,Graduation,79456.0
1980,Master,78789.0
1952,PhD,50870.0
1983,Master,35876.0
1957,Graduation,23539.0
1967,Master,32557.0
1970,2n Cycle,62466.0
1970,2n Cycle,62466.0
1966,Graduation,54198.0
1978,PhD,82170.0
1964,PhD,61798.0
1992,Basic,15253.0
1988,Master,78285.0
1955,Graduation,62535.0
1973,Basic,27190.0
1968,2n Cycle,48985.0
1970,Graduation,72940.0
1985,2n Cycle,36145.0
1977,Graduation,157146.0
1960,Master,81843.0
1988,Graduation,41883.0
1964,PhD,45759.0
1964,PhD,45759.0
1986,Graduation,78394.0
1989,Graduation,30279.0
1989,Graduation,30279.0
1970,Graduation,31880.0
1973,Graduation,60208.0
1983,Graduation,78687.0
1973,PhD,37401.0
1973,PhD,37401.0
1954,Graduation,75315.0
1965,Graduation,69263.0
1946,Graduation,78569.0
1966,PhD,57705.0
1955,2n Cycle,74805.0
1961,PhD,66426.0
1949,Master,51529.0
1946,Graduation,18100.0
1977,2n Cycle,59601.0
1977,2n Cycle,20981.0
1976,Graduation,74068.0
1983,Graduation,36790.0
1971,Graduation,18793.0
1954,Graduation,27421.0
1972,Graduation,30675.0
1974,Graduation,83145.0
1968,Master,34053.0
1983,Master,31788.0
1974,2n Cycle,45894.0
1978,Graduation,41986.0
1962,PhD,42769.0
1982,2n Cycle,58582.0
1964,Graduation,49096.0
1980,PhD,76412.0
1990,Graduation,18929.0
1990,Graduation,18929.0
1990,Graduation,18929.0
1986,Master,21888.0
1978,Graduation,41580.0
1979,PhD,31605.0
1974,PhD,25509.0
1974,PhD,25509.0
1959,Master,33051.0
1966,PhD,28764.0
1983,2n Cycle,32146.0
1983,Graduation,22148.0
1979,Graduation,36781.0
1960,Master,54197.0
1970,Graduation,93790.0
1972,Graduation,24762.0
1984,Master,30477.0
1975,2n Cycle,11448.0
1967,Graduation,70844.0
1980,Graduation,30828.0
1967,Master,62513.0
1981,2n Cycle,27733.0
1973,PhD,39435.0
1970,Master,75345.0
1986,2n Cycle,20491.0
1971,Graduation,36715.0
1959,Graduation,71706.0
1966,PhD,69063.0
1988,Graduation,24645.0
1975,Graduation,35797.0
1969,Graduation,44078.0
1971,Graduation,26954.0
1972,PhD,
1972,PhD,38887.0
1974,2n Cycle,65463.0
1959,PhD,53537.0
1971,Master,36230.0
1950,Graduation,80763.0
1971,PhD,60585.0
1974,Graduation,49166.0
1955,PhD,75261.0
1991,Graduation,89891.0
1962,Master,72828.0
1952,Graduation,75278.0
1978,Graduation,38557.0
1963,PhD,81300.0
1965,2n Cycle,60161.0
1977,PhD,69389.0
1954,Graduation,64497.0
1980,Graduation,61014.0
1975,Master,44319.0
1957,2n Cycle,53233.0
1954,Graduation,77972.0
1987,Graduation,81361.0
1987,Graduation,81361.0
1984,Basic,25707.0
1971,PhD,42403.0
1972,2n Cycle,65704.0
1980,Graduation,37406.0
1951,Master,39767.0
1979,2n Cycle,54210.0
1967,Graduation,57136.0
1975,Graduation,40794.0
1965,Graduation,83003.0
1960,Master,89058.0
1991,2n Cycle,20193.0
1974,Graduation,72099.0
1971,Graduation,43824.0
1975,Graduation,66653.0
1978,Graduation,44359.0
1961,Graduation,79410.0
1977,Master,55842.0
1966,Graduation,79946.0
1979,2n Cycle,88194.0
1944,Master,80184.0
1967,Graduation,76982.0
1980,PhD,65295.0
1973,Graduation,57100.0
1981,Graduation,29009.0
1971,PhD,78931.0
1975,Master,7500.0
1976,Graduation,56939.0
1990,Graduation,64509.0
1990,Graduation,30093.0
1974,PhD,30351.0
1974,PhD,30351.0
1960,PhD,38201.0
1986,Graduation,
1980,PhD,43974.0
1970,Graduation,38200.0
1960,2n Cycle,87305.0
1961,Graduation,16860.0
1972,PhD,27213.0
1976,Graduation,7500.0
1965,Graduation,4861.0
1971,Master,38196.0
1950,PhD,41145.0
1982,PhD,38513.0
1968,Graduation,45688.0
1958,PhD,77863.0
1969,Master,42169.0
1964,Graduation,45906.0
1988,2n Cycle,35388.0
1969,Graduation,80952.0
1954,Graduation,39898.0
1954,Graduation,39898.0
1973,Master,44051.0
1954,Graduation,86718.0
1986,Master,80141.0
1976,Graduation,58597.0
1945,PhD,70356.0
1967,Graduation,46904.0
1946,Graduation,37760.0
1946,Graduation,37760.0
1964,Graduation,61839.0
1972,PhD,29791.0
1963,PhD,48918.0
1963,PhD,48918.0
1965,Graduation,58692.0
1976,Graduation,39356.0
1972,Master,76234.0
1984,Graduation,55434.0
1946,Master,66835.0
1946,Master,66835.0
1951,Graduation,71965.0
1971,Graduation,74538.0
1954,Graduation,50002.0
1958,Graduation,53977.0
1958,Graduation,53977.0
1971,Graduation,69930.0
1967,PhD,62981.0
1974,Master,46014.0
1987,Graduation,18227.0
1976,Graduation,65991.0
1972,Graduation,38808.0
1982,PhD,160803.0
1978,Master,43783.0
1969,PhD,30396.0
1964,PhD,65526.0
1964,PhD,65526.0
1944,Graduation,55956.0
1978,Graduation,55563.0
1965,PhD,57236.0
1973,Graduation,89694.0
1971,Master,57420.0
1972,Graduation,33622.0
1986,PhD,29999.0
1962,PhD,31497.0
1962,PhD,31497.0
1980,PhD,36802.0
1968,Graduation,61671.0
1893,2n Cycle,60182.0
1971,PhD,29732.0
1986,PhD,45921.0
1984,Graduation,16529.0
1960,Master,98777.0
1960,Master,98777.0
1952,Master,77027.0
1965,Graduation,69139.0
1965,Graduation,69139.0
1982,Graduation,65169.0
1952,Graduation,40049.0
1945,Graduation,69755.0
1961,PhD,
1961,PhD,54456.0
1977,Graduation,666666.0
1951,Graduation,60689.0
1978,Basic,26487.0
1970,Graduation,28164.0
1970,Graduation,22585.0
1971,Graduation,64795.0
1987,PhD,42000.0
1987,PhD,42000.0
1966,Graduation,70713.0
1946,PhD,82800.0
1946,PhD,82800.0
1975,Basic,30801.0
1974,Master,83891.0
1950,Master,38054.0
1969,Graduation,14045.0
1957,PhD,44155.0
1970,PhD,57642.0
1977,Graduation,31353.0
1977,Graduation,31353.0
1968,Master,41335.0
1968,Master,41335.0
1957,PhD,40737.0
1975,2n Cycle,19789.0
1949,PhD,35946.0
1983,Master,36262.0
1954,Master,44551.0
1959,Graduation,71367.0
1959,Graduation,71367.0
1959,Graduation,57957.0
1972,2n Cycle,50334.0
1949,Master,48150.0
1969,Graduation,56796.0
1969,Graduation,56796.0
1963,PhD,52278.0
1963,PhD,52278.0
1996,2n Cycle,7500.0
1952,Master,33444.0
1973,Graduation,20895.0
1976,Master,37509.0
1978,Master,88097.0
1973,Graduation,59041.0
1974,Graduation,43322.0
1955,PhD,46015.0
1955,PhD,46015.0
1959,Master,34242.0
1955,Graduation,65210.0
1958,PhD,50520.0
1970,Graduation,90765.0
1944,Graduation,80589.0
1958,Master,49572.0
1978,Graduation,75437.0
1971,Master,44635.0
1964,Graduation,58512.0
1952,PhD,62000.0
1956,Graduation,54252.0
1974,PhD,45068.0
1979,Graduation,60474.0
1979,Graduation,60474.0
1981,2n Cycle,56337.0
1987,Graduation,22434.0
1982,Graduation,61416.0
1975,Master,92163.0
1956,Master,58656.0
1973,2n Cycle,
1986,Basic,8940.0
1974,Graduation,26751.0
1978,Graduation,71427.0
1984,Graduation,26646.0
1974,Graduation,19346.0
1975,Graduation,56243.0
1970,PhD,59892.0
1965,Graduation,71613.0
1986,Graduation,25252.0
1975,Graduation,42160.0
1979,Basic,15862.0
1974,Master,82584.0
1989,Graduation,38360.0
1957,PhD,75283.0
1956,Master,34941.0
1952,Graduation,61823.0
1956,Master,90226.0
1974,Graduation,44989.0
1974,Graduation,44989.0
1980,Graduation,43586.0
1974,Graduation,32233.0
1969,Graduation,62882.0
1963,Master,57288.0
1981,2n Cycle,75774.0
1981,2n Cycle,75774.0
1988,Master,90247.0
1960,2n Cycle,32218.0
1988,Graduation,84219.0
1988,Graduation,84219.0
1966,Graduation,48877.0
1950,Graduation,60905.0
1964,Graduation,75236.0
1953,Graduation,62551.0
1983,PhD,70123.0
1962,Graduation,50785.0
1970,2n Cycle,15315.0
1970,2n Cycle,15315.0
1970,PhD,64413.0
1981,PhD,87171.0
1961,Graduation,30081.0
1976,Graduation,20180.0
1976,Graduation,20180.0
1966,Graduation,55686.0
1959,2n Cycle,26887.0
1977,PhD,61996.0
1952,Graduation,51537.0
1962,Graduation,72025.0
1971,Master,30538.0
1991,2n Cycle,61618.0
1965,Graduation,77343.0
1989,Graduation,75433.0
1962,PhD,82571.0
1954,Master,60033.0
1983,Graduation,39062.0
1972,Graduation,30023.0
1970,Graduation,30015.0
1980,Graduation,33228.0
1967,Graduation,22574.0
1967,Graduation,22574.0
1957,Graduation,55267.0
1958,Graduation,66886.0
1971,Graduation,72258.0
1984,PhD,82733.0
1963,Graduation,45146.0
1990,2n Cycle,51250.0
1951,Graduation,32871.0
1978,2n Cycle,63855.0
1968,PhD,42564.0
1972,2n Cycle,46344.0
1963,Graduation,50437.0
1960,Graduation,70971.0
1977,Graduation,37774.0
1963,PhD,4023.0
1966,Graduation,33279.0
1978,Graduation,42693.0
1952,Master,70545.0
1957,Graduation,65486.0
1981,Master,77882.0
1960,Graduation,78468.0
1963,Graduation,77226.0
1991,Master,90638.0
1991,Master,90638.0
1948,Graduation,70666.0
1959,2n Cycle,59052.0
1952,Basic,13084.0
1949,Graduation,49160.0
1953,Graduation,23272.0
1963,Master,49476.0
1965,Master,62694.0
1973,PhD,57906.0
1982,Graduation,71853.0
1982,Graduation,71853.0
1959,Graduation,65031.0
1960,Graduation,30507.0
1970,Graduation,67419.0
1950,Graduation,59462.0
1994,Graduation,95529.0
1953,Graduation,53653.0
1980,Basic,25965.0
1970,Graduation,22979.0
1951,PhD,64950.0
1985,Graduation,44322.0
1983,Graduation,30096.0
1983,Graduation,30096.0
1977,Graduation,56628.0
1977,2n Cycle,82326.0
1995,Graduation,71163.0
1978,Graduation,71022.0
1954,2n Cycle,42607.0
1975,Graduation,43057.0
1975,Master,47808.0
1987,Graduation,29236.0
1969,Graduation,40590.0
1969,Graduation,40590.0
1959,Master,77520.0
1981,Graduation,40211.0
1973,PhD,63516.0
1974,Graduation,53034.0
1975,Master,22669.0
1982,Graduation,79908.0
1986,PhD,69867.0
1966,Graduation,70287.0
1966,Graduation,37070.0
1966,Graduation,37070.0
1966,Master,38179.0
1983,Graduation,39922.0
1983,Graduation,39922.0
1983,Graduation,39922.0
1963,Master,64191.0
1975,2n Cycle,41658.0
1976,Graduation,40780.0
1979,Graduation,77568.0
1985,Graduation,66503.0
1986,Graduation,83512.0
1964,PhD,31686.0
1976,Graduation,71322.0
1988,Graduation,27938.0
1951,Graduation,22263.0
1956,Graduation,34633.0
1981,Graduation,42162.0
1976,PhD,162397.0
1978,Graduation,54162.0
1955,2n Cycle,41769.0
1981,PhD,44953.0
1978,PhD,37717.0
1978,PhD,37717.0
1970,Graduation,40548.0
1975,2n Cycle,67893.0
1953,Graduation,69267.0
1976,Basic,9548.0
1958,Graduation,68281.0
1960,2n Cycle,92556.0
1979,Graduation,48526.0
1991,Graduation,90273.0
1981,2n Cycle,19414.0
1958,PhD,79761.0
1951,PhD,53312.0
1982,2n Cycle,41039.0
1961,Graduation,88347.0
1983,PhD,50150.0
1983,PhD,50150.0
1971,Graduation,10245.0
1985,PhD,33454.0
1952,Graduation,40887.0
1975,Graduation,55914.0
1983,Graduation,37292.0
1971,Graduation,52914.0
1972,2n Cycle,24884.0
1970,Graduation,67384.0
1960,Graduation,51651.0
1980,Graduation,82497.0
1963,2n Cycle,32632.0
1963,Master,33562.0
1967,Graduation,79146.0
1967,Graduation,79146.0
1981,Master,36143.0
1973,Master,27159.0
1960,Master,41275.0
1965,2n Cycle,76800.0
1987,Graduation,75794.0
1951,Graduation,30833.0
1949,PhD,26518.0
1981,Graduation,91065.0
1962,Master,45183.0
1950,Graduation,48070.0
1971,Graduation,30372.0
1971,Graduation,30372.0
1975,2n Cycle,57036.0
1970,Graduation,66731.0
1970,PhD,35682.0
1989,Master,10979.0
1989,Master,10979.0
1965,PhD,57912.0
1972,Graduation,36026.0
1971,Graduation,35788.0
1959,Graduation,42243.0
1956,Graduation,46086.0
1978,Master,61346.0
1971,Master,33316.0
1971,Master,33316.0
1987,Basic,21063.0
1970,Graduation,33697.0
1978,2n Cycle,25804.0
1977,Graduation,72117.0
1966,Graduation,61286.0
1966,Graduation,61286.0
1958,Graduation,65196.0
1971,Graduation,55635.0
1981,Master,42021.0
1972,Master,75251.0
1968,Graduation,35322.0
1969,PhD,53374.0
1959,Graduation,87195.0
1981,2n Cycle,42395.0
1966,Graduation,82427.0
1969,Master,44602.0
1951,Graduation,94642.0
1983,Graduation,28359.0
1975,Graduation,55801.0
1973,Graduation,92955.0
1968,Graduation,56534.0
1962,Graduation,69627.0
1970,Master,78579.0
1980,Graduation,44964.0
1974,PhD,30899.0
1964,PhD,78825.0
1987,Graduation,25545.0
1971,PhD,47111.0
1955,PhD,49667.0
1947,Master,66000.0
1964,PhD,46910.0
1972,Basic,25224.0
1968,Graduation,77382.0
1967,PhD,28420.0
1977,Graduation,32952.0
1975,Graduation,46149.0
1899,PhD,83532.0
1947,PhD,73059.0
1947,PhD,73059.0
1959,Graduation,35701.0
1983,Master,89616.0
1970,Graduation,105471.0
1948,Master,78427.0
1986,Graduation,22518.0
1976,Graduation,59809.0
1982,Graduation,39660.0
1950,2n Cycle,52203.0
1973,PhD,35860.0
1973,PhD,35860.0
1973,PhD,35860.0
1973,PhD,35860.0
1950,PhD,76842.0
1951,Graduation,15033.0
1970,PhD,67353.0
1975,2n Cycle,17003.0
1965,Master,65735.0
1971,Graduation,45684.0
1969,Graduation,21918.0
1978,Graduation,51267.0
1972,Graduation,59868.0
1991,Graduation,51373.0
1958,Master,46692.0
1971,Master,157733.0
1950,PhD,54432.0
1984,Graduation,79607.0
1972,Graduation,51813.0
1989,Basic,17487.0
1968,PhD,40706.0
1959,PhD,62859.0
1958,Graduation,61074.0
1969,Graduation,43638.0
1956,Graduation,58116.0
1969,PhD,62187.0
1954,Graduation,46344.0
1980,Graduation,77353.0
1966,PhD,69759.0
1986,Graduation,21846.0
1975,Graduation,76532.0
1965,Master,70053.0
1958,2n Cycle,75342.0
1982,Master,27590.0
1973,Graduation,51148.0
1963,Graduation,33378.0
1973,PhD,32644.0
1969,PhD,33581.0
1978,2n Cycle,12393.0
1984,PhD,42710.0
1957,2n Cycle,82347.0
1957,2n Cycle,82347.0
1955,PhD,22554.0
1987,Graduation,17323.0
1960,Graduation,62204.0
1956,PhD,78028.0
1962,Graduation,63887.0
1965,PhD,32727.0
1985,Graduation,29103.0
1965,Graduation,61482.0
1970,Graduation,20587.0
1970,Graduation,20587.0
1976,PhD,52190.0
1974,Graduation,48186.0
1968,Graduation,19329.0
1971,Master,34109.0
1986,Graduation,23477.0
1966,PhD,47472.0
1976,PhD,14849.0
1978,2n Cycle,26224.0
1962,PhD,27238.0
1970,Master,
1962,Graduation,57967.0
1949,PhD,51569.0
1954,PhD,72550.0
1970,Master,44511.0
1955,2n Cycle,62972.0
1955,2n Cycle,62972.0
1989,PhD,77845.0
1975,PhD,36663.0
1976,Master,53204.0
1982,Master,21059.0
1953,Master,67087.0
1953,Graduation,73892.0
1992,Graduation,75114.0
1948,Graduation,42192.0
1960,Graduation,31454.0
1978,Graduation,22775.0
1978,Graduation,22775.0
1972,Graduation,31590.0
1972,Graduation,80134.0
1972,Graduation,80134.0
1972,Basic,14188.0
1985,PhD,18169.0
1956,Graduation,62503.0
1954,Graduation,46734.0
1991,PhD,68126.0
1954,PhD,52869.0
1986,Graduation,26576.0
1976,Graduation,75825.0
1950,Graduation,57045.0
1975,2n Cycle,34984.0
1973,Graduation,27803.0
1975,PhD,69283.0
1992,Basic,18746.0
1965,2n Cycle,70924.0
1965,2n Cycle,70924.0
1973,2n Cycle,69401.0
1976,Master,75012.0
1978,Master,85738.0
1975,Graduation,60934.0
1986,Master,27161.0
1961,PhD,64325.0
1973,Basic,18978.0
1977,Graduation,41124.0
1984,PhD,39684.0
1963,PhD,53378.0
1982,Graduation,37040.0
1977,Master,78710.0
1986,Graduation,92910.0
1976,Graduation,36283.0
1974,PhD,79632.0
1978,Graduation,28587.0
1981,Graduation,88325.0
1958,Master,51412.0
1952,2n Cycle,63998.0
1978,2n Cycle,38593.0
1977,Master,27889.0
1980,2n Cycle,45889.0
1967,PhD,56575.0
1979,Basic,16014.0
1958,Master,61331.0
1976,Master,70893.0
1979,Graduation,2447.0
1957,Graduation,64849.0
1989,Graduation,42387.0
1995,2n Cycle,80617.0
1985,Graduation,54006.0
1978,Graduation,16531.0
1966,PhD,30843.0
1984,PhD,18988.0
1965,PhD,81051.0
1988,Graduation,39747.0
1959,PhD,34554.0
1959,PhD,52854.0
1970,Graduation,81205.0
1970,PhD,69084.0
1970,PhD,69084.0
1974,PhD,65352.0
1972,Graduation,22063.0
1979,Graduation,47691.0
1968,PhD,29187.0
1972,Graduation,72504.0
1970,Graduation,33986.0
1986,Master,42386.0
1986,Master,42386.0
1953,PhD,36957.0
1988,Basic,13724.0
1967,Graduation,42664.0
1958,PhD,37334.0
1951,2n Cycle,78497.0
1951,2n Cycle,78497.0
1956,2n Cycle,58821.0
1953,Graduation,58398.0
1961,Master,80950.0
1980,PhD,30732.0
1966,2n Cycle,89572.0
1968,Graduation,57107.0
1970,Graduation,76467.0
1957,Graduation,
1948,Graduation,51315.0
1966,Graduation,43602.0
1978,Graduation,38643.0
1951,Graduation,49090.0
1970,Graduation,70617.0
1970,PhD,67536.0
1975,Graduation,27573.0
1979,2n Cycle,13533.0
1953,Graduation,50725.0
1978,Graduation,25851.0
1978,Graduation,57113.0
1945,Master,62847.0
1982,Graduation,68627.0
1983,Graduation,25271.0
1966,Graduation,63810.0
1966,Graduation,63810.0
1958,PhD,65488.0
1955,Master,36927.0
1977,Graduation,22108.0
1949,Graduation,72025.0
1975,Graduation,33183.0
1982,Master,23661.0
1977,2n Cycle,25315.0
1961,Graduation,45938.0
1988,Graduation,66951.0
1979,Graduation,77298.0
1979,Graduation,77298.0
1974,Master,43018.0
1969,Graduation,75759.0
1989,PhD,33996.0
1989,PhD,33996.0
1970,Graduation,54137.0
1967,Graduation,61223.0
1968,PhD,69674.0
1972,Master,49494.0
1962,Graduation,51195.0
1975,2n Cycle,37284.0
1975,2n Cycle,37284.0
1978,Graduation,42011.0
1954,Graduation,70044.0
1972,Graduation,46053.0
1981,Basic,24480.0
1977,Graduation,54233.0
1954,Graduation,36130.0
1975,PhD,56559.0
1992,Master,92859.0
1980,Graduation,44010.0
1963,Graduation,80124.0
1963,Graduation,80124.0
1980,Graduation,50183.0
1971,Graduation,64722.0
1976,PhD,37395.0
1968,Master,29543.0
1968,Graduation,19514.0
1968,Graduation,19514.0
1975,Graduation,59481.0
1947,Master,91712.0
1975,Graduation,80144.0
1972,PhD,59973.0
1974,PhD,68352.0
1975,Master,81169.0
1975,Graduation,61456.0
1966,Basic,22634.0
1966,Basic,22634.0
1975,Graduation,23957.0
1973,Graduation,33471.0
1950,PhD,52157.0
1985,PhD,30298.0
1950,PhD,56551.0
1950,PhD,56551.0
1957,Master,65487.0
1957,Master,65487.0
1952,Graduation,44213.0
1974,PhD,40344.0
1978,Graduation,57867.0
1973,Graduation,25410.0
1970,Graduation,13260.0
1991,Graduation,42691.0
1970,Master,36138.0
1972,Master,57136.0
1955,Graduation,58275.0
1957,PhD,54237.0
1974,PhD,34596.0
1974,PhD,34596.0
1961,Master,74881.0
1961,Master,74881.0
1970,Graduation,44267.0
1988,Graduation,68487.0
1988,Graduation,68487.0
1959,Graduation,80982.0
1980,Graduation,69508.0
1961,PhD,63342.0
1961,PhD,63342.0
1961,Graduation,82014.0
1959,Graduation,76320.0
1954,Graduation,64587.0
1975,Graduation,74190.0
1979,Master,32765.0
1964,2n Cycle,
1975,2n Cycle,22212.0
1989,Graduation,18358.0
1974,Graduation,26067.0
1969,Basic,22390.0
1978,Graduation,70440.0
1978,Graduation,60199.0
1981,Graduation,38547.0
1980,Graduation,19107.0
1985,PhD,37929.0
1950,Graduation,16813.0
1957,Graduation,62187.0
1966,Graduation,57811.0
1956,Master,50943.0
